paper_id,title,authors,year,url,filename
deng2016-soft-table,A Novel Soft Machine Table for Manipulation of Delicate Objects Inspired by Caterpillar Locomotion,"Deng, Zhicong; Stommel, Martin; Xu, Weiliang",2016,https://doi.org/10.1109/TMECH.2016.2519333,Deng et al. - 2016 - A Novel Soft Machine Table for Manipulation of Del.pdf
hu2022-superrepellent,Pneumatic programmable superrepellent surfaces,"Hu, Songtao; Cao, Xiaobao; Reddyhoff, Tom; Ding, Xijia; Shi, Xi; Dini, Daniele; deMello, Andrew J.; Peng, Zhike; Wang, Zuankai",2022,https://doi.org/10.1002/dro2.11,Hu et al. - 2022 - Pneumatic programmable superrepellent surfaces.pdf
ingle2025-linear-controller,Heterogeneous object manipulation on nonlinear soft surface through linear controller,"Ingle, Pratik; Støy, Kasper; Faiña, Andres",2025,https://doi.org/10.1109/CASE58245.2025.11163787,Ingle et al. - 2025 - Heterogeneous object manipulation on nonlinear soft surface through linear controller.pdf
ingle2025-reduced-density,Soft Manipulation Surface With Reduced Actuator Density For Heterogeneous Object Manipulation,"Ingle, Pratik; Støy, Kasper; Faiña, Andres",2025,https://doi.org/10.1109/RoboSoft63089.2025.11020841,Ingle et al. - 2025 - Soft Manipulation Surface With Reduced Actuator Density For Heterogeneous Object Manipulation.pdf
jang2024-pvc-gel,Dynamically reconfigurable shape-morphing and tactile display via hydraulically coupled mergeable and splittable PVC gel actuator,"Jang, Seung-Yeon; Cho, Minjae; Kim, Hyunwoo; Choi, Meejeong; Mun, Seongcheol; Youn, Jung-Hwan; Park, Jihwan; Hwang, Geonwoo; Hwang, Inwook; Yun, Sungryul; Kyung, Ki-Uk",2024,https://doi.org/10.1126/sciadv.adq2024,Jang et al. - 2024 - Dynamically reconfigurable shape-morphing and tact.pdf
johnson2023-shape-display,"A multifunctional soft robotic shape display with high-speed actuation, sensing, and control","Johnson, B. K.; Naris, M.; Sundaram, V.; Volchko, A.; Ly, K.; Mitchell, S. K.; Acome, E.; Kellaris, N.; Keplinger, C.; Correll, N.; Humbert, J. S.; Rentschler, M. E.",2023,https://doi.org/10.1038/s41467-023-39842-2,Johnson et al. - 2023 - A multifunctional soft robotic shape display with .pdf
liu2021-robotic-surfaces,"Robotic surfaces with reversible, spatiotemporal control for shape morphing and object manipulation","Liu, Ke; Hacker, Felix; Daraio, Chiara",2021,https://doi.org/10.1126/scirobotics.abf5116,"Liu et al. - 2021 - Robotic surfaces with reversible, spatiotemporal c.pdf"
robertson2019-modular-surface,A Compact Modular Soft Surface With Reconfigurable Shape and Stiffness,"Robertson, Matthew A.; Murakami, Masahiro; Felt, Wyatt; Paik, Jamie",2019,https://doi.org/10.1109/TMECH.2018.2878621,Robertson et al. - 2019 - A Compact Modular Soft Surface With Reconfigurable.pdf
shin2025-robot-skin,Soft and flexible robot skin actuator using multilayer 3D pneumatic network,"Shin, Hyung Gon; Chung, Wan Kyun; Kim, Keehoon",2025,https://doi.org/10.1038/s41467-025-60496-9,Shin et al. - 2025 - Soft and flexible robot skin actuator using multil.pdf
xue2023-arraybot,ArrayBot: Reinforcement Learning for Generalizable Distributed Manipulation through Touch,"Xue, Zhengrong; Zhang, Han; Cheng, Jingwen; He, Zhengmao; Ju, Yuanchen; Lin, Changyi; Zhang, Gu; Xu, Huazhe",2023,https://arxiv.org/abs/2306.16857,Xue et al. - 2023 - ArrayBot Reinforcement Learning for Generalizable.pdf
